,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,17,chaque,each
16,19,arrivé,come
17,20,devrait,should
18,21,bébé,baby
19,22,longtemps,long time
20,23,heures,hours
21,24,vont,will
22,25,pendant,while
23,27,aucune,any
24,28,place,square
25,29,parle,speak
26,30,compris,understood
27,31,savais,knew
28,32,étaient,were
29,33,attention,Warning
30,34,voici,here is
31,35,pourrais,could
32,36,affaire,case
33,37,donner,give
34,38,type,type
35,39,leurs,their
36,40,donné,given
37,41,train,train
38,43,endroit,place
39,44,yeux,eyes
40,45,façon,way
41,46,écoute,listen
42,47,dont,whose
43,48,trouve,find
44,49,premier,first
45,50,perdu,lost
46,51,main,hand
47,52,première,first
48,53,côté,side
49,54,pouvoir,power
50,55,vieux,old
51,56,sois,be
52,57,tiens,here
53,58,matin,morning
54,59,tellement,so much
55,60,enfant,child
56,61,point,point
57,62,venu,came
58,63,pardon,sorry
59,64,venez,come
60,65,devant,in front of
61,66,vers,towards
62,67,minutes,minutes
63,68,demandé,request
64,69,chambre,bedroom
65,70,mis,placed
66,71,belle,beautiful
67,72,droit,law
68,73,aimerais,would like to
69,74,aujourd'hui,today
70,75,mari,husband
71,76,cause,cause
72,77,enfin,finally
73,79,eau,water
74,81,parti,left
75,82,nouvelle,new
76,83,boulot,job
77,84,arrêter,Stop
78,85,dirait,would say
79,86,terre,Earth
80,87,compte,account
81,88,loin,far
82,90,croire,believe
83,91,chérie,sweetheart
84,92,gros,large
85,93,plutôt,rather
86,94,aura,will have
87,95,filles,girls
88,96,jouer,to play
89,97,bureau,office
